x, y, sigmaxx, sigmaxy, sigmayx, sigmayy,
15.7189,3.80916,0.00408214,-0.0016305,-0.0016305,0.0105465,
15.9409,3.96052,0.00390873,-0.00117357,-0.00117357,0.00848078,
16.1413,4.09001,0.00413115,-0.00173256,-0.00173256,0.0105609,
16.3334,4.30595,0.00394197,-0.00124022,-0.00124022,0.00847642,
16.549,4.4497,0.00418468,-0.00183593,-0.00183593,0.0105622,
16.7239,4.63127,0.00397943,-0.00130984,-0.00130984,0.0084636,
16.8852,4.77533,0.00423957,-0.00193554,-0.00193554,0.0105579,
17.0383,5.03284,0.00401737,-0.00137615,-0.00137615,0.00844844,
17.2166,5.16762,0.00430488,-0.00204425,-0.00204425,0.0105331,
17.368,5.37136,0.00406418,-0.00145137,-0.00145137,0.00841957,
17.5342,5.49819,0.00437106,-0.00214805,-0.00214805,0.0105066,
17.721,5.63739,0.00410992,-0.00152073,-0.00152073,0.00839164,
17.8763,5.79302,0.0044265,-0.0022323,-0.0022323,0.0104917,
18.0402,6.02235,0.00414585,-0.00157351,-0.00157351,0.00837393,
18.1993,6.2038,0.00448662,-0.00231792,-0.00231792,0.0104663,
18.3123,6.48712,0.00418746,-0.0016307,-0.0016307,0.00834772,
18.4527,6.67218,0.00456264,-0.0024176,-0.0024176,0.0104183,
18.597,6.82205,0.00424245,-0.00170049,-0.00170049,0.008305,
18.7541,7.0081,0.00463545,-0.00250897,-0.00250897,0.010376,
18.9508,7.16595,0.00429196,-0.00176063,-0.00176063,0.00826917,
19.0517,7.32431,0.00470058,-0.00258826,-0.00258826,0.0103438,
19.1267,7.64476,0.00433474,-0.00181092,-0.00181092,0.00824113,
19.256,7.82717,0.00478254,-0.00267903,-0.00267903,0.0102831,
19.3266,8.07721,0.0043936,-0.00187409,-0.00187409,0.00819139,
19.4313,8.26782,0.00487301,-0.00277303,-0.00277303,0.010213,
19.5252,8.42481,0.0044573,-0.0019383,-0.0019383,0.00813664,
19.6283,8.59919,0.00495727,-0.00285687,-0.00285687,0.0101512,
19.784,8.80018,0.00451384,-0.00199283,-0.00199283,0.00809011,
19.8703,8.98881,0.00503432,-0.00293071,-0.00293071,0.0100976,
19.9867,9.25945,0.00456479,-0.00204,-0.00204,0.00804962,
20.0468,9.44354,0.00511844,-0.00300596,-0.00300596,0.0100329,
20.116,9.72942,0.00462311,-0.00209042,-0.00209042,0.00799971,
20.1788,9.97366,0.0052145,-0.0030855,-0.0030855,0.00995161,
20.2153,10.2923,0.00469094,-0.00214488,-0.00214488,0.00793823,
20.2423,10.4975,0.00533203,-0.00317465,-0.00317465,0.0098449,
20.2892,10.8105,0.0047753,-0.00220707,-0.00220707,0.00785844,
20.3167,11.0629,0.00546137,-0.0032656,-0.0032656,0.00972736,
20.3517,11.3171,0.00486612,-0.00226904,-0.00226904,0.00777282,
20.3157,11.524,0.00559509,-0.0033529,-0.0033529,0.00960715,
20.3799,11.784,0.00495826,-0.00232721,-0.00232721,0.00768668,
20.402,12.0137,0.00572643,-0.00343222,-0.00343222,0.00948926,
20.3823,12.3395,0.00504746,-0.00237918,-0.00237918,0.00760341,
20.3498,12.5387,0.0058666,-0.0035086,-0.0035086,0.00935919,
20.3727,12.7924,0.00514464,-0.00243024,-0.00243024,0.0075105,
20.3738,12.9917,0.00600189,-0.00357675,-0.00357675,0.00923561,
20.3361,13.2185,0.00523621,-0.00247457,-0.00247457,0.00742406,
20.3049,13.4311,0.00612986,-0.00363592,-0.00363592,0.00911877,
20.2744,13.7255,0.00532214,-0.00251265,-0.00251265,0.00734299,
20.2336,13.9202,0.00626314,-0.00369068,-0.00369068,0.00899316,
20.1644,14.2126,0.00541401,-0.00254885,-0.00254885,0.00725433,
20.0995,14.4195,0.00640319,-0.00374154,-0.00374154,0.0088587,
19.9753,14.7151,0.00551113,-0.00258268,-0.00258268,0.00715954,
19.9121,14.9131,0.00655599,-0.00378893,-0.00378893,0.008708,
19.8898,15.1404,0.0056183,-0.00261465,-0.00261465,0.00705314,
19.7869,15.3071,0.00670075,-0.00383071,-0.00383071,0.00857211,
19.7554,15.4988,0.00571569,-0.00264119,-0.00264119,0.00695983,
19.6769,15.6753,0.00683131,-0.00386419,-0.00386419,0.00845056,
19.5519,15.9276,0.00580211,-0.00266192,-0.00266192,0.00687746,
19.4541,16.1189,0.00696515,-0.00389157,-0.00389157,0.00832063,
19.3403,16.3204,0.00589415,-0.00267956,-0.00267956,0.00678698,
19.2342,16.4925,0.00710071,-0.00391412,-0.00391412,0.00818812,
19.0825,16.7456,0.00598742,-0.002694,-0.002694,0.00669497,
18.9411,16.9146,0.00724518,-0.00393157,-0.00393157,0.00804402,
18.7273,17.2041,0.00608824,-0.00270528,-0.00270528,0.00659419,
18.607,17.4091,0.00740901,-0.00394218,-0.00394218,0.00787525,
18.3807,17.6389,0.00620483,-0.00271231,-0.00271231,0.00647522,
18.2306,17.8257,0.00758481,-0.0039471,-0.0039471,0.00769674,
